name,activation,target,area,duration,range,savetype,onsave,school,description,level,icon
ARCANE TORRENT,standard,One creature,,Instantaneous,60 ft.,,,Elemental Flux (Strike) [force],"You unleash a sudden burst of eldritch energy that surges
towards a distant foe. When you initiate this strike, select
a target within 60 feet. Magical missiles of explosive force
swiftly fly at this target, dealing 6d6 points of force damage
to the target unless it succeeds at a Reflex save (DC 14 +
your initiation modifier).
Animus augmentation: You may spend two points of
animus to instead fire a barrage of force missiles. Instead of
this strikes normal effect, you create a 15-foot burst within
60 feet of you, affecting each creature within its area as if
you had targeted them.",4,icons/svg/ice-aura.svg
ASSAY RESISTANCE,swift,You,,1 round,Personal,,,Elemental Flux (Boost),"By directly targeting the elemental essence that suffuses
all creatures, you overcome an opponents defenses with a
powerful attack. Your next attack ignores the first 25 points
of energy resistance to your active elements associated
energy type, automatically overcomes damage reduction,
and deals an additional 2d6 points of damage.
Animus augmentation: You may spend one point of
animus to increase this boosts additional damage to 3d6.",4,icons/svg/ice-aura.svg
ELDRITCH CONSUMPTION,immediate,You,,Instantaneous,Personal,,,Elemental Flux (Counter),"You have such an intimate understanding of the underlying
nature of magic that you can capture its essence and feast
on it to rejuvenate yourself. You can initiate this counter
in response to being targeted by a spell, spell-like ability,
power, or psi-like ability. Make a Spellcraft check (DC 11 +
the effects caster or manifester level). If you succeed, the
effect is countered, and you heal 5 hit points per level of the
effect you countered.",4,icons/svg/ice-aura.svg
ENERGY HAMMER,standard,One creature,,Instantaneous (see text),Melee or ranged attack,,,Elemental Flux (Strike),"As you advance your training, you learn to unleash ever
more powerful bursts of energy. Make an attack. If it hits,
it deals weapon damage as normal plus an additional 6d6
points of damage of your active elements associated energy
type. This strike also has one of the following effects, based
on your active element:
• Air If your attack hits, the target must succeed at a
Fortitude save or become deafened for 1d4 rounds.
• Earth If your attack hits, the target must succeed at a
Will save or become stunned for 1d4 rounds
• Fire If your attack hits, the target must succeed at a
Reflex save or become blinded for 1d4 rounds.
• Water If your attack hits, the target must succeed at
a Fortitude save or become nauseated for 1d4 rounds.
Saving throws against this strike are DC 14 + your
initiation modifier.
Animus augmentation: You may spend points of animus
up (up to your maximum for augmenting Elemental Flux
maneuvers) to increase the additional damage of this strike
by 1d6 per point of animus spent and increase the save DC
of this strike by +1 per point of animus spent.",4,icons/svg/ice-aura.svg
ELEMENTAL DRIVE,standard,One creature,,Instantaneous,30 ft.,,,Elemental Flux (Strike),"You charge your weapon with kinetic and elemental energy,
driving them back with a wave of elemental power. You fire
a ray against an opponent within 30 feet. This ray requires a
ranged touch attack to hit and deals 9d6 points of damage
of your active elements associated energy type, and you
attempt a bull rush against your target, calculating your
CMB using your initiation modifier and initiator level in
place of your Strength modifier and base attack bonus.
Animus augmentation: You may spend one point of
animus to gain a +5 bonus on your bull rush attempt.",5,icons/svg/ice-aura.svg
ELEMENTAL ABSORPTION,immediate,You,,1 round,Personal,,,Elemental Flux (Counter),"You learn to suffuse your being with an element to such a
degree that its presence heals you instead of harming you.
You can initiate this counter at any time to gain immunity
to your active elements associated energy type for one
round. While under the effect of this counter, attacks and
effects that that deal energy damage of that type instead
heal you for half of the damage they would normally deal.",5,icons/svg/ice-aura.svg
ELEMENTAL VORTEX,standard,One creature,,Instantaneous (see text),Melee or ranged attack,,,Elemental Flux (Strike),"A whirling vortex of elemental energy engulfs your foe
just as your blade lands. Make an attack. If it hits, it deals
weapon damage as normal plus an additional 8d6 points
of damage of your active elements associated energy type.
This strike also has one of the following effects, based on
your active element:
• Air If the target is wearing metal armor, wielding a
metal shield, or wielding a weapon mostly composed
of metal, you and your allies gain a +4 bonus on attack
rolls against the target until the start of your next turn,
regardless of whether or not your attack hits.
• Earth If your attack hits, you may make a free trip
attempt that does not provoke attacks of opportunity,
with a bonus on the attempt equal to your initiation
modifier.
• Fire If your attack hits, the target must succeed at
a Reflex save or catch on fire for 2d4 rounds, and
become sickened from the pain for as long as they are
burning.
• Water If your attack hits, the target must succeed at a
Fortitude save or become entangled for a number of
rounds equal to your initiation modifier.
Saving throws against this strike are DC 15 + your
initiation modifier.
Animus augmentation: You may spend points of animus
up (up to your maximum for augmenting Elemental Flux
maneuvers) to increase the additional damage of this strike
by 1d6 per point of animus spent and increase the save DC
of this strike by +1 per point of animus spent.",5,icons/svg/ice-aura.svg
ELDRITCH ENERGY HAMMER,standard,One creature,,Instantaneous,Melee or ranged attack,,,Elemental Flux (Strike),"You know how to destroy the bonds that hold magic
together just as easily as you can forge them. Make an attack.
If it hits, it deals weapon damage as normal, and you affectthe target as if you had cast a targeted greater dispel magic
on it. Make a dispel check against the spell with the highest
caster level affecting the target, using your initiator level as
your caster level for the check. If you do not successfully
dispel that spell, compare the same result to the spell with
the next highest caster level. Repeat this process until you
have dispelled one spell affecting the target, or you have
failed to dispel every spell. You can only end one spell with
this maneuver. If you successfully dispel a spell affecting
the target, your target takes 1d6 points of force damage for
each level of the effect dispelled.
Animus augmentation: You may spend points of animus
up (up to your maximum for augmenting Elemental Flux
maneuvers) to gain a +2 bonus on your dispel check per
point spent.",6,icons/svg/ice-aura.svg
ELEMENTAL DESTRUCTION RING,standard,,"20-ft. radius burst, centered on you",Instantaneous (see text),20 ft.,,,Elemental Flux (Strike),"You whip the elements around you into a fury, then unleash
the energy at all the foes who surround you. When you
initiate this maneuver, you release a 20-foot burst of energy
centered on you that deals 12d6 points of damage of your
active elements associated energy type to any creatures in
the area. You do not take damage from this burst. This strike
also has one of the following effects, based on your active
element:
• Air The flash of lightning blinds targets for 1d4 rounds.
• Earth The acid is gummy and sticky, applying a –4
penalty to targets Dexterity scores and a –2 penalty
to attack rolls for 1d4 rounds. In addition, targets take
1d6 points of acid damage at the start of each of their
turns for a number of rounds equal to your initiation
modifier.
• Fire The intense heat and pain from the blast dazes
targets for one round.
• Water Targets become staggered for 1d6 rounds from
the intense chill.
Creatures caught in the burst can make a Reflex save
(DC 16 + your initiation modifier) to take half damage and
negate the added effect.
Animus augmentation: You may spend any number of
animus points to augment this strike, regardless of your level.
For every point of animus you spend, this strikes damage
increases by 1d6. The total damage dice for this maneuver
may not exceed your initiator level (up to a maximum of
20d6).",6,icons/svg/ice-aura.svg
ELDRITCH FANG FLURRY,swift,You,,1 round,Personal,,,Elemental Flux (Boost) [force],"Striking at your foes with elemental fury, you aim to disable
his opponents in addition to harming them. After initiating
this boost, all attacks you make for one round deal an
additional 3d6 points of force damage and automatically
overcome damage reduction. In addition, any opponent
hit by one of your attacks must succeed at a Fortitude save
(DC 16 + your initiation modifier) or become blinded for
one round. Multiple hits do not extend the duration of this
blinding effect, though they do prompt multiple saves.",6,icons/svg/ice-aura.svg
SHATTER RESISTANCE,swift,You,,1 round,Personal,,,Elemental Flux (Boost),"You know that the might of the elements can overwhelm
any defense. After initiating this boost, all attacks you make
for one round ignore energy resistance of your targets, and
creatures with an energy immunity still take half damage,
rather than no damage. In addition, all of your attacks deal
an additional 4d6 points of damage of your active elements
associated energy type for the same duration.
Animus augmentation: You may spend two points of
animus to lower the spell resistance possessed by thosedamaged by your attacks by 10 for the duration of this
boost.",6,icons/svg/ice-aura.svg
CASCADE OF ELEMENTAL WRATH,1 full-round action,One or more creatures (see text),,Instantaneous,Melee or ranged attack,,,Elemental Flux (Strike),"Each slash of your blade releases more and more eldritch
power, overwhelming your enemies with the power of
your strikes. Make a full attack. Each attack deals damage
entirely of your active elements associated energy type, and
additional damage equal to 1d6 + your initiation modifier.
During your full attack, you can change your active element
as a free action once after each subsequent attack.
Animus augmentation: You may spend two points of
animus to make an extra attack during this strike at your
highest attack bonus.",7,icons/svg/ice-aura.svg
FORCE MAJEURE,standard,One creature,,Instantaneous,Melee or ranged attack,,,Elemental Flux (Strike),"You infuse your weapon with pure elemental power, striking
with a force beyond mere steel. Make an attack. If it hits,
it deals weapon damage as normal plus an additional 14d6
points of damage. Unlike with a normal attack, all damage
dealt by this attack is to be considered to be of your active
elements associated energy type (including weapon
damage, weapon enchantments, and bonuses from a high
strength or from feats).
Animus augmentation: You may spend three points
of animus to infuse your strike with raw arcane energy,
unaligned to any elemental forces. If you do, your attack
deals force damage rather than elemental damage.",7,icons/svg/ice-aura.svg
REDIRECTING FLUX,immediate,You,,Instantaneous,Personal,,,Elemental Flux (Counter),"Your mastery of the Elemental Flux discipline knows how to
read and alter the flow of magical energy. You can initiate
this counter when you are targeted by a spell, power, spelllike ability, or psi-like ability. Make a Spellcraft check (DC
15 + the effects caster or manifester level). If you succeed,
you can redirect that effect to another target of your choice
within the spells range. If the effect has multiple targets,
you can choose to change all of its targets to other valid
targets within range.
Animus augmentation: You may spend points of animus
up (up to your maximum for augmenting Elemental Flux
maneuvers) to gain a +2 bonus on your Spellcraft check per
point spent.",7,icons/svg/ice-aura.svg
ELEMENTAL BREACH,swift,You,,1 round,Personal,,,Elemental Flux (Boost),"As a master of the Elemental Flux discipline, you know how
to overwhelm the defenses of your targets and expose their
weaknesses to the elements. After initiating this boost, your
attacks for one round ignore all energy resistances and
energy immunities and automatically overcome damage
reduction. Additionally, any damage you deal of your active
elements associated energy type is increased by 50% for the
same duration.",8,icons/svg/ice-aura.svg
ZEPHYR FLUX,1 full-round action,,,Instantaneous (see text),120 ft.,,,Elemental Flux (Strike) [teleportation],"Upon reaching supreme levels of understanding in this
discipline, you may transmute your entire being intoelemental energy and travel in the blink of an eye across the
battlefield, leaving a wake of devastation behind you. When
you initiate this strike, select a primary target and a number
of secondary targets within 30 feet of the primary target
equal to your initiation modifier. A creature cannot be both
a primary target and a secondary target. Your path across
the battlefield deals 14d6 points of damage to the primary
target and 7d6 points of damage to secondary targets. All
damage is of your active elements associated energy type.
This strike also has one of the following effects, based on
your active element:
• Air Any target who fails its save is dazed by the
electrical jolt for one round.
• Earth Any target who fails its save is deafened from the
seismic vibrations for 1d3 rounds.
• Fire Any target who fails its save is engulfed in cinders
and smoke, becoming blinded for 1d3 rounds.
• Water Any target who fails its save is nauseated for 1d3
rounds from the bone-chilling cold.
All targets can make a Reflex save (DC 18 + your initiation
modifier) to take half damage and negate the added effect.
After this strike concludes, you can move to any space
within 10 feet of a secondary target of this strike without
provoking attacks of opportunity. As a supernatural ability,
this strike is not subject to spell resistance.
Animus augmentation: You may spend points of animus
up (up to your maximum for augmenting Elemental Flux
maneuvers) to increase the initial damage of this strike by
2d6 (1d6 to secondary targets) per point of animus spent
and increase the save DC of this strike by +1 per point of
animus spent.",8,icons/svg/ice-aura.svg
STRIKE OF ELEMENTAL DEVASTATION,1 full-round action,Up to five creatures,,Instantaneous (see text),30 feet,,,"Elemental Flux (Strike) [air, earth, fire, force,","The ultimate expression of elemental power can only be
unleashed by a master of the Elemental Flux discipline, and
by calling upon the arcane forces of magic as well as the
terrific power of the elements, the disciple may crush his
opponents under a fierce magical assault. The maneuver
creates five distinct blasts of energy, one of each element
and one of pure force. These blasts may be fired at the same
or different targets, as long as each target is within 30 feet of
you. Each blast requires a ranged touch attack to hit and has
one of the following effects if it hits:
• Air A bolt of electrical energy that deals 25 points of
electricity damage and staggers the opponent for 1d4
rounds. If the target is wearing metal armor or a metal
shield, or wielding a primarily metal weapon then the
attack gains a +4 circumstance bonus on hit.
• Earth A jet of boiling acid that deals 25 points of acid
damage and blinds the target for 1d4 rounds.
• Fire A stream of sulfurous fire that deals 25 points of
fire damage, nauseates the target for 1d4 rounds, and
sets them on fire for the same duration.
• Force A hammering blast of arcane force that deals 50
points of force damage.
• Water A freezing beam of cold that deals 25 points
of cold damage and the target must succeed at a
Fortitude save (DC 19 + your initiation modifier) or
become dazed for 1d4 rounds.
Animus augmentation: For each blast, you may spend
up to three points of animus to increase its initial damage
by 10 per point of animus spent and its save DC (if any) by
+1 per point of animus spent. You may spend any number
of animus points to augment this strike, regardless of your
level. However, each blast must be augmented separately,
and you cannot spend more than three points per blast. The
blasts of this strike are otherwise immutable; you cannot
use abilities such as the mystics elemental attunement class
feature to change the damage types dealt.",9,icons/svg/ice-aura.svg
GUARDS OATH,standard,One creature,,Instantaneous (see text),Melee attack,,,Eternal Guardian (Strike) [curse],"A central concept of the discipline of the Eternal Guardian
is the ability to restrict an opponents movement—prevent
their escape or halting their advance. Your basic but potent
strike allows you to harry and disrupt a foe until they lay
down their arms. Make a melee attack. If it hits, it deals
weapon damage as normal, and the target must succeed at
a Will save (DC 11 + your initiation modifier) or become
cursed and unable to move within your threatened area
(including with 5-foot steps and using the Withdraw action)
without provoking an attack of opportunity from you for
24 hours. If the target drops all weapons it is holding, it can
make another saving throw to end this effect. An affected
target that is not holding a weapon can draw or pick up a
weapon, then drop it to gain a new saving throw, but can
never gain more than one save per round against this curse.STRIKE OF THE INFINITE PROTECTOR
Discipline: Eternal Guardian (Strike)
Level: 1
Initiation Action: 1 standard action
Range: Melee or ranged attack and 30 ft. (see text)
Target: One opponent and one ally
Duration: Instantaneous (see text)
You swear to protect your charge, while living or dead, with
an unbreakable oath. Make an attack. If it hits, it deals deal
weapon damage as normal and a fragment of your life force
envelops an ally within 30 feet, granting them a +2 bonus to
their AC for one round.",1,icons/svg/holy-shield.svg
TERRIFYING BLOW,standard,One creature,,Instantaneous (see text),Melee or ranged attack,,,Eternal Guardian (Strike) [fear],"With a bellowing cry, you deliver a fearsome wound to your
opponent. Make an attack. If it hits, it deals weapon damage
as normal, and the target must succeed at a Will save (DC
11 + your initiation modifier) or become frightened for
one round. If your target is cursed, your attack deals an
additional 1d6 points of damage.",1,icons/svg/holy-shield.svg
WARDENS BEARING,swift,You,,Instantaneous,Personal,,,Eternal Guardian (Boost),"You shift your weight and assume a stronger, more
impressive position. You can activate this boost while
making a combat maneuver attempt. You gain a +2 bonus
on your combat maneuver check, you do not provoke
attacks of opportunity for making that combat maneuver
attempt, and you are treated as one size category larger
for purposes of determining if your combat maneuver can
affect your target (such as a Medium creature attempting
to bull rush a Huge creature).DEBILITATING FEAR
Discipline: Eternal Guardian (Boost) [fear]
Level: 2
Initiation Action: 1 swift action
Range: 60 ft.
Target: One creature
Duration: 1 round
You fill your target with the fear that prey feels when it sees
a mighty predator, impairing their ability to act. When you
activate this boost, choose one creature within range that
is cowering, shaken, frightened, or panicked. That creature
must succeed at a Will save (DC 12 + your initiation
modifier) or become dazed for 1 round.",1,icons/svg/holy-shield.svg
FEAR THE REAPER,immediate,One ally (see text),,Instantaneous,60 ft. (see text),,,Eternal Guardian (Counter) [fear],"You have learned to use the fear you create as a method of
defense for both yourself and your allies. You can initiate
this counter in response to a melee or ranged attack being
made against an ally (including you) within 60 feet. Make an
Intimidate check, using your opponents attack roll as the
DC. If you succeed, the attack is negated, and the attacker
becomes shaken for one round, as if you had demoralized
them with the Intimidate check.",2,icons/svg/holy-shield.svg
OATH OF THE INTERCESSOR,immediate,One ally,,Instantaneous,Melee reach,,,Eternal Guardian (Counter),"You make an unbreakable vow to take the brunt of an
attack in place of your ally. You can initiate this counter in
response to a melee or ranged attack being made against an
ally within your melee reach. You and that ally switch places,
and the attack targets you instead. Neither your nor your
allys movement provokes attacks of opportunity.",2,icons/svg/holy-shield.svg
STRIKE OF THE ROYAL GUARDIAN,standard,One creature,,Instantaneous (see text),Melee or ranged attack,,,Eternal Guardian (Strike) [curse],"Some foes may slip past your guard, but as a disciple of the
Eternal Guardian, you have other ways to minimize their
threat, afflicting your enemies with an agonizing curse
that cripples their attacks. Make an attack. If it hits, it deals
weapon damage as normal, and the target becomes cursed,
taking a –2 penalty on damage rolls with weapon attacks
for as long as it is cursed. If an affected target does not make
an attack during its turn, it can make a Will save (DC 12
+ your initiation modifier) to end this effect. If the target
prostrates itself (treated as dropping prone) and grovels for
a full round, the curse is automatically removed.",2,icons/svg/holy-shield.svg
RELENTLESS WARDENS STRIKE,standard,One creature,,Instantaneous,Melee attack and 60 ft. (see text),,,Eternal Guardian (Strike) [teleportation],"You hound a weakened enemy, keeping them in check.
When you initiate this strike, you may teleport to any space
within 60 feet that is within 10 feet of a creature that is
cowering, cursed, shaken, frightened, or panicked. After you
teleport, make a melee attack against that creature, if able. If
it hits, it deals weapon damage as normal plus an additional
2d6 points of damage.",2,icons/svg/holy-shield.svg
BINDING FETTERS,swift,One creature,,1 round,Melee attack,,,"Eternal Guardian (Boost) [curse, teleportation]","Your oath binds you and the target of your attack in combat
with each other, leashing your very souls together. You can
activate this boost when you hit a creature with a melee
attack. That creature becomes cursed for one round, and
at the start of your next turn, it must succeed at a Will
save (DC 13 + your initiation modifier) be teleported to
an unoccupied square adjacent to you. This teleportation
functions regardless of the distance between you and the
target, although it cannot teleport a target on another plane
of existence. For every 10 feet the target moves during its
turn preceding the teleportation, the save DC of this strike
increases by +1 (up to a maximum of a +3 increase to the
DC). You can touch an ally in place of a willing ally to curse
them, in which case they automatically fail their Will save to
resist being teleported back to you at the start of your next
turn. You can end this effect and the cursed condition on
any the target at any time as a free action.",3,icons/svg/holy-shield.svg
INTRUDERS END,immediateRange: Personal,You,,1 round,Personal,,,Eternal Guardian (Counter) [teleportation],"You declare an area to be your protected sanctum, and dare
any foe to try their hand at entering your sanctum. With
each opportunity, you warp space, teleporting across your
domain to attack before returning. After initiating this
counter, your threatened area increases to 20 feet for one
round. This overlaps with, rather than stacking with, any
natural reach you otherwise have; if your natural reach is
greater than 20 feet, it is not reduced. In addition, for the
duration of this boost, you gain a +2 circumstance bonus
on attack rolls while making attacks of opportunity and
can make a number of additional attacks of opportunity
this round equal to your initiation modifier. This stacks with
the Combat Reflexes feat and other effects that increase the
number of attacks of opportunity you can make in a round.",3,icons/svg/holy-shield.svg
SWALLOW YOUR FEAR,immediate,One ally,,Instantaneous (see text),60 ft.,,,Eternal Guardian (Counter),"Your knowledge of fear and devotion allows you to absorb
and control harmful magics which can affect the mind. You
can initiate this counter in response to an ally (including
yourself) within 60 feet rolling a saving throw against a
mind-affecting effect. You or your ally gains a +4 morale
bonus on that saving throw, and if the save is successful, that
ally gains a number of temporary hit points equal to the
save DC of that effect for a number of rounds equal to your
initiator level.",3,icons/svg/holy-shield.svg
GRIM GUARDS LAUGHTER,standard,One creature (see text),,Instantaneous,Melee attack and 30 ft. (see text),,,Eternal Guardian (Strike) [fear],"Your deep, disturbing laughter echoes throughout the
battlefield filling your foes with dread and causing their
wills to falter. Make a melee attack. If it hits, it deals weapon
damage as normal plus an additional 4d6 points of damage,
and you can make an Intimidate check, treating that check
as a demoralize attempt against every opponent within 30
feet. If you successfully demoralize a cursed creature with
this strike, that creature becomes frightened for one round
in addition to becoming demoralized.",4,icons/svg/holy-shield.svg
OATH OF TORPOR,swift,You,,Instantaneous (see text),Personal,,,Eternal Guardian (Boost) [curse],"You swear an oath to your foes, that their limbs will be
heavy and their wills sapped. After initiating this boost, each
successful attack or combat maneuver attempt you make
against an opponent before the start of your next turn also
causes that opponent to become cursed for one minute.
Each time a creature cursed by this boost moves, it must
succeed at a Will save (DC 14 + your initiation modifier)
or become slowed (as the spell) until the end of its next
turn. A successful save against this effect ends the curse.
Alternatively, if a creature cursed by this boost does not
willingly move from its space for two consecutive rounds,
the curse ends without a need for a saving throw. A creature
forced to move (such as by a bull rush) does not trigger this
effect.",4,icons/svg/holy-shield.svg
STRIKE OF THE STEADFAST LEGION,standard,One creature (see text),,Instantaneous (see text),Melee or ranged attack and 60 ft. (see text),,,Eternal Guardian (Strike),"When you bring your enemy low, your strength bolsters
the will of your allies. Make an attack. If it hits, it dealsweapon damage as normal plus additional damage equal to
1/2 your initiator level, and all allies within 60 feet of you
gain damage reduction/– equal to your initiation modifier
(minimum 1) for one round. In addition, any ally who gains
damage reduction from this strike can expend a number of
hit point up to your initiator level to grant any other ally
who gained damage reduction from this strike three times
that amount in temporary hit points. These temporary hit
points last for one round.",4,icons/svg/holy-shield.svg
WATCHMANS REBUKE,immediate,One creature,,Instantaneous,60 ft.,,,Eternal Guardian (Counter),"Your supernatural will calls for your enemies to cease
resisting and submit to your judgement. You can initiate
this counter when an opponent within 60 feet succeeds on
a saving throw. That opponent must immediately reroll its
save, using the result of the second roll to determine if it
succeeded or failed. If that opponent is cursed, it takes a –2
penalty on this reroll.",4,icons/svg/holy-shield.svg
UNBEARABLE GAZE,immediate,One creature,,1 round,60 ft.,,,Eternal Guardian (Counter) [fear],"Your stare fills a creature with supernatural dread, causing
them to fear looking into your eyes lest it cause them great
harm. You can initiate this counter in response to being
targeted by an attack, spell, or power originating from an
creature within 60 feet. That creature must succeed at a
Reflex save (DC 15 + your initiation modifier) or become
blinded for one round, averting its eyes as a result of utter
terror. If the target fails its saving throw, the attack or effect
suffers a 50% miss chance against you, even if it would
normally automatically hit. A creature without eyes or that
is already blind is immune to this effect.",5,icons/svg/holy-shield.svg
SHACKLES OF THE CONDEMNED,standard,One creature,,Instantaneous (see text),Melee attack,,,Eternal Guardian (Strike) [curse],"Your strike binds your target, summoning cursed manacles
that bind both you and your enemy to a single fate. Make
a melee attack. If it hits, it deals weapon damage as normal
plus an additional 5d6 points of damage, and the target
becomes cursed and entangled for a number of rounds
equal to your initiator level. While under the effect of this
maneuver, the target cannot move further than 30 feet away
from you, even by teleportation effects. You or your target
can pull on the chain as a trip or drag attempt as an attack
action without provoking attacks of opportunity. You gain
a +4 bonus on combat maneuver checks and to your CMD
when making these attempts or having them made against
you.
If the target begins and ends its turn adjacent to you, it
can make a Will save (DC 15 + your initiation modifier) to
end the effects of this strike. If you move further than 30 feet
away from the target, the curse is broken and the effects
of this strike end. You can end the effects of this strike as
a free action, and it ends automatically if you are knocked
unconscious or killed.",5,icons/svg/holy-shield.svg
STAND YOUR GROUND,immediate,You and one ally,,1 round,60 ft.,,,Eternal Guardian (Counter),"You and your ally stand together to defend your position,
strengthened by supernatural resolve. When you initate
this counter, choose an ally within 60 feet. For one round,
you and that ally each take only half the damage you would
otherwise take. Damage that is redirected (such as by the
shield other spell or the share pain power) or intentionally
taken (such as by strike of the steadfast legion) is not
reduced.CHARGE OF DISMAY
Discipline: Eternal Guardian (Strike) [fear]
Level: 6
Prerequisites: Two Eternal Guardian maneuvers
Initiation Action: 1 full-round action
Range: Melee attack and 30 ft. (see text)
Target: One creature (see text)
Duration: Instantaneous (see text)
The disciple barrels through the enemy lines, terrifying his
foes. Make a charge attack that does not provoke attacks
of opportunity. If it hits, it deals weapon damage as normal
plus an additional 6d6 points of damage, and all opponents
(including the target) within 30 feet must succeed at a
Will save (DC 16 + your initiation modifier) or become
frightened for 1d4 rounds and shaken for one minute after.
Creatures with more hit dice than your initiator level cannot
become frightened by this strike, although they still become
shaken on a failed save. Any creature that starts its turn
without line of sight to you can make another saving throw
to end this effect.",5,icons/svg/holy-shield.svg
INESCAPABLE FETTERS,swift,You,,1 round,Personal,,,"Eternal Guardian (Boost) [curse, teleportation]","Your nightmarish oath that no foe will escape you draws.
After initiating this boost, each creature you hit with a
melee attack before the start of your next turn becomes
cursed for one round per four initiator levels you possess.
At the end of each of the turns of a creature cursed by this
boost, that creature must succeed at a Will save (DC 16 +
your initiation modifier) or be teleported to an unoccupied
square adjacent to you. This teleportation provokes an
attack of opportunity from you, and functions regardless
of the distance between you and the cursed creature,
although it cannot teleport a target on another plane of
existence. For every 10 feet a cursed creature moves during
its turn preceding the teleportation, the save DC of this
strike increases by +2 (up to a maximum of a +6 increase to
the DC). You can touch a willing ally to curse them, in which
case they automatically fail their Will save to resist being
teleported back to you at the start of your next turn. You
can end this effect and the cursed condition on any affected
creature at any time as a free action.",6,icons/svg/holy-shield.svg
INFINITE FOCUS,immediate,All allies within 60 ft.,,1 round,60 ft.,,,Eternal Guardian (Counter),"You share some of your patience and dedication with
your allies, allowing them to avoid careless mistakes that
would allow an opponent to strike. After initiating this
counter, your allies within 60 feet of you do not provoke
attacks of opportunity for one round. Any ally that moves
further than 60 feet away from you loses this benefit. You
can initiate this counter in response to an ally provoking
an attack of opportunity from an opponent; if you do, that
attack is negated, and the ally gains the full benefits of this
counter as normal.",6,icons/svg/holy-shield.svg
STRIKE OF SACRIFICE,standard,One creature (see text),,Instantaneous (see text),Melee or ranged attack and 30 feet (see text),,,Eternal Guardian (Strike),"You seal a portion of your life force around your allies,
protecting them from harm at the cost of your own
vulnerability. Make an attack. If it hits, it deals weapon
damage as normal plus an additional 6d6 points of damage,
and you may lower your AC by up to 1/2 your initiator level
and grant all allies within 30 feet an equal bonus to their ACs.
Both the reduction of your AC and the bonus to your allies
ACs lasts for a number of rounds equal to your initiator level.",6,icons/svg/holy-shield.svg
CURSE OF IMPENDING DOOM,standard,One creature,,"Instantaneous (see text)The disciples curse seeps into the foes subconscious, forcing",Melee or ranged attack,,,"Eternal Guardian (Strike) [curse, fear]","it to believe failure is just around the corner. Make an
attack. If it hits, it deals weapon damage as normal plus an
additional 6d6 points of damage, and the target becomes
cursed for 24 hours. While cursed by this strike, the target
suffers a –2 penalty on attack rolls, saving throws, and skill,
checks. Whenever an affected target succeeds on an attack
roll, saving throw, or skill, check, the penalty imposed by
this strike increases by –2. Whenever an affected target
fails on such a roll, it must succeed at a Will save (DC 17
+ your initiation modifier) or become panicked for one
round, and the penalty imposed by this maneuver is reset
to –2. A creature under the effect of this strike can choose
to intentionally fail on any of these rolls to make another
saving throw against this effect. If it does, failure does not
cause it to become panicked, nor does it reset the penalty
to –2.",7,icons/svg/holy-shield.svg
GRIM SATISFACTION,swift,You,,1 round,Personal,,,Eternal Guardian (Boost) [fear],"Seeing the fear and resignation in the eyes of your foes spurs
you closer to victory. After initiating this boost, the next
creature you hit with an attack for one round must succeed
at a Will save (DC 17 + your initiation modifier) or cower
in fear for one round, and you heal a number of hit points
equal to your initiator level. If the creature that fails its save
is cursed, you heal an additional 10 hit points.",7,icons/svg/holy-shield.svg
UNBREAKABLE PROMISE,immediate,All opponents within 60 ft.,,3 rounds (see text),60 ft.,,,Eternal Guardian (Counter) [curse],"You vow that no foe will land a killing blow against those
under your protection. You can initiate this counter in
response to a melee or ranged attack being made against
another ally within 60 feet. All opponents within 60 feet of
you must succeed at a Will save (DC 17 + your initiation
modifier) or become cursed for three rounds. While a
creature is cursed by this counter, it cannot reduce any
creature other than itself below 0 hit points by any means;
any additional damage is negated. An affected creature can
strike itself as an attack action or part of a full-attack action
(dealing damage as normal for the attack) to end this curse.",7,icons/svg/holy-shield.svg
CRUSHING REBUKE,immediate,One creature,,1 turn,60 ft.,,,Eternal Guardian (Counter) [fear],"Your overwhelming presence castigates a foe, causing them
to utterly doubt their own abilities. You can initiate this
counter in response to a melee or ranged attack being made
against you or an ally by an opponent within 60 feet. Make
an Intimidate check, using the creatures attack roll as the
DC. If you succeed, the attack is negated, and that all attacks
made by that creature until the end of its turn are treated as
if that creature had rolled a natural 1.",8,icons/svg/holy-shield.svg
HAMMER OF THE IMMORTAL,standard,Every threatened opponent,,Instantaneous (see text),Melee attack,,,Eternal Guardian (Strike),"You act as both hammer and anvil, striking your enemies
with furious skill that breaks their lines and their spirits.
Make a melee attack roll and compare it to the AC of each
opponent you threaten. If the attack roll hits a target, it
deals weapon damage as normal plus an additional 8d6
points of damage, and the target takes a –4 penalty to its
AC and CMB until the start of your next turn. Use the same
damage roll for each target. In addition, you may make a
single combat maneuver attempt against each target you
hit with this strike as a free action. These combat maneuver
attempts do not provoke attacks of opportunity.",8,icons/svg/holy-shield.svg
